Date,Close
1/2/2018,57.63
1/3/2018,58.71
1/4/2018,58.93
1/5/2018,59.61
1/8/2018,59.31
1/9/2018,59.18
1/10/2018,59.82
1/11/2018,60
1/12/2018,60.4
1/16/2018,60.56
1/17/2018,60.66
1/18/2018,61.09
1/19/2018,61.26
1/22/2018,61.41
1/23/2018,61.69
1/24/2018,60.83
1/25/2018,60.55
1/26/2018,57.99
1/29/2018,57.02
1/30/2018,57.19
1/31/2018,56.81
2/1/2018,56
2/2/2018,55.77
2/5/2018,54.69
2/6/2018,55.61
2/7/2018,54.46
2/8/2018,53.77
2/9/2018,54.58
2/12/2018,55.38
2/13/2018,55.67
2/14/2018,55.99
2/15/2018,56.58
2/16/2018,56.48
2/20/2018,55.97
2/21/2018,56.1
2/22/2018,55.4
2/23/2018,56.14
2/26/2018,57.17
2/27/2018,56.57
2/28/2018,57.1
3/1/2018,56.17
3/2/2018,56.93
3/5/2018,56.99
3/6/2018,57.03
3/7/2018,57.03
3/8/2018,57.47
3/9/2018,58.46
3/12/2018,59.4
3/13/2018,59.05
3/14/2018,58.83
3/15/2018,59.37
3/16/2018,59
3/19/2018,58.3
3/20/2018,58.66
3/21/2018,58.47
3/22/2018,57.77
3/23/2018,56.31
3/26/2018,57.8
3/27/2018,57.46
3/28/2018,57.9
3/29/2018,57.89
4/2/2018,56.24
4/3/2018,58
4/4/2018,58.83
4/5/2018,59.14
4/6/2018,58.34
4/9/2018,58.7
4/10/2018,59.41
4/11/2018,59.42
4/12/2018,59.43
4/13/2018,59.24
4/16/2018,59.43
4/17/2018,59.83
4/18/2018,59.5
4/19/2018,59.22
4/20/2018,58
4/23/2018,58.16
4/24/2018,57.81
4/25/2018,57.71
4/26/2018,59.38
4/27/2018,58.36
4/30/2018,57.57
5/1/2018,58.13
5/2/2018,56.7
5/3/2018,56.13
5/4/2018,57.68
5/7/2018,57.45
5/8/2018,57.67
5/9/2018,57.04
5/10/2018,57.65
5/11/2018,57.27
5/14/2018,57.13
5/15/2018,56.64
5/16/2018,57.15
5/17/2018,57.2
5/18/2018,57.2
5/21/2018,57.34
5/22/2018,56.96
5/23/2018,57.49
5/24/2018,57.68
5/25/2018,57.92
5/29/2018,57.23
5/30/2018,57.48
5/31/2018,56.67
6/1/2018,56.91
6/4/2018,57.07
6/5/2018,55.68
6/6/2018,57.17
6/7/2018,57.14
6/8/2018,56.6
6/11/2018,56.48
6/12/2018,56.48
6/13/2018,56.21
6/14/2018,57.02
6/15/2018,57.11
6/18/2018,57.22
6/19/2018,57.43
6/20/2018,52.22
6/21/2018,50.62
6/22/2018,51.24
6/25/2018,50.66
6/26/2018,50.38
6/27/2018,49.84
6/28/2018,48.54
6/29/2018,48.85
7/2/2018,49.06
7/3/2018,48.77
7/5/2018,48.61
7/6/2018,48.98
7/9/2018,49.9
7/10/2018,50.42
7/11/2018,50.14
7/12/2018,50.25
7/13/2018,51.62
7/16/2018,50.94
7/17/2018,51.28
7/18/2018,51.15
7/19/2018,51.34
7/20/2018,50.91
7/23/2018,51.19
7/24/2018,51.17
7/25/2018,51.62
7/26/2018,51.45
7/27/2018,52.15
7/30/2018,51.9
7/31/2018,52.39
8/1/2018,51.93
8/2/2018,51.68
8/3/2018,52.23
8/6/2018,52.07
8/7/2018,52.07
8/8/2018,51.55
8/9/2018,51.92
8/10/2018,51.51
8/13/2018,51.81
8/14/2018,52.59
8/15/2018,52.75
8/16/2018,53.04
8/17/2018,53.56
8/20/2018,53.92
8/21/2018,54
8/22/2018,52.82
8/23/2018,52.66
8/24/2018,52.75
8/27/2018,52.97
8/28/2018,53.05
8/29/2018,53.25
8/30/2018,53.1
8/31/2018,53.45
9/4/2018,53.53
9/5/2018,53.79
9/6/2018,54.21
9/7/2018,54.86
9/10/2018,54.97
9/11/2018,55.12
9/12/2018,54.97
9/13/2018,54.89
9/14/2018,54.75
9/17/2018,54.57
9/18/2018,55.07
9/19/2018,55.43
9/20/2018,56.43
9/21/2018,57.45
9/24/2018,56.69
9/25/2018,56.9
9/26/2018,57.27
9/27/2018,57.34
9/28/2018,56.84
10/1/2018,55.58
10/2/2018,55.59
10/3/2018,55.47
10/4/2018,55.89
10/5/2018,55.76
10/8/2018,56.54
10/9/2018,57.71
10/10/2018,56.01
10/11/2018,54.86
10/12/2018,56.45
10/15/2018,56.75
10/16/2018,57.81
10/17/2018,59.1
10/18/2018,58.64
10/19/2018,58.66
10/22/2018,58.9
10/23/2018,58.81
10/24/2018,58.06
10/25/2018,58.96
10/26/2018,58.07
10/29/2018,58.37
10/30/2018,58.59
10/31/2018,58.27
11/1/2018,58.63
11/2/2018,64.32
11/5/2018,64.48
11/6/2018,66.01
11/7/2018,68.16
11/8/2018,68.72
11/9/2018,68.6
11/12/2018,67.91
11/13/2018,67.41
11/14/2018,67.04
11/15/2018,67.62
11/16/2018,68.16
11/19/2018,67.91
11/20/2018,67.18
11/21/2018,66.77
11/23/2018,65.7
11/26/2018,65.69
11/27/2018,66.08
11/28/2018,66.82
11/29/2018,66.88
11/30/2018,66.72
12/3/2018,67.5
12/4/2018,66.65
12/6/2018,66.55
12/7/2018,65.47
12/10/2018,65.49
12/11/2018,65.92
12/12/2018,66.13
12/13/2018,66.91
12/14/2018,65.34
12/17/2018,64.47
12/18/2018,64.92
12/19/2018,64.06
12/20/2018,62.15
12/21/2018,61.39
12/24/2018,60.56
12/26/2018,63.08
12/27/2018,63.2
12/28/2018,63.39
